City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,satipo,-11.2522,-74.6386,71.6,98,100,2.06,PE,1676335986
228,mirnyy,62.5353,113.9611,-15.61,100,99,4.18,RU,1676335987
229,waipawa,-41.4122,175.5153,58.15,97,100,23.0,NZ,1676335987
230,alofi,-19.0595,-169.9187,84.09,79,75,10.36,NU,1676335988
231,agirish,61.9247,63.0231,4.48,99,100,5.55,RU,1676335989
232,chesma,53.8111,60.6533,10.02,91,98,8.23,RU,1676335990
233,katsuura,35.1333,140.3,43.84,54,97,13.42,JP,1676335991
234,gravdal,68.1214,13.5031,42.35,92,100,22.84,NO,1676335992
235,gobabis,-22.45,18.9667,75.6,20,97,12.19,NA,1676335824
236,mut,36.6439,33.4389,32.27,72,9,7.85,TR,1676335994
237,nakambala,-15.8324,27.7799,64.17,97,100,5.79,ZM,1676335995
238,sur,22.5667,59.5289,70.43,51,57,4.25,OM,1676335996
239,meulaboh,4.1363,96.1285,75.88,90,85,5.91,ID,1676335997
240,carnarvon,-24.8667,113.6333,79.88,63,0,16.22,AU,1676335997
241,mount gambier,-37.8333,140.7667,69.19,46,0,6.04,AU,1676335999
242,tabas,33.5959,56.9244,49.44,69,100,4.12,IR,1676335999
243,paamiut,61.994,-49.6678,-5.01,82,4,12.8,GL,1676336000
244,hobyo,5.3505,48.5268,77.04,66,93,15.23,SO,1676336001
245,north bend,43.4065,-124.2243,44.24,86,100,27.63,US,1676336002
246,kango,0.1943,10.0951,76.71,93,99,2.57,GA,1676336003
247,newport,51.5877,-2.9984,43.43,91,0,2.13,GB,1676335845
248,coxim,-18.5067,-54.76,76.57,83,97,4.12,BR,1676335943
249,lebu,-37.6167,-73.65,59.13,81,99,7.43,CL,1676336006
250,talcahuano,-36.7167,-73.1167,64.08,59,0,16.11,CL,1676336007
251,beloha,-25.1667,45.05,71.65,89,0,5.5,MG,1676336008
252,dunmore town,25.5,-76.65,70.63,63,0,13.49,BS,1676336009
253,fort saint james,54.4333,-124.25,26.47,88,100,3.98,CA,1676336010
254,baykit,61.67,96.37,-4.4,97,100,1.97,RU,1676336011
255,puerto narino,-3.7703,-70.3831,74.52,96,100,2.46,CO,1676336012
256,atbasar,51.8,68.3333,-14.08,100,83,4.99,KZ,1676336013
257,darapidap,17.2131,120.4114,82.02,44,19,1.28,PH,1676336014
258,nanortalik,60.1432,-45.2371,13.1,71,8,29.55,GL,1676336014
259,oriximina,-1.7656,-55.8661,79.52,78,98,3.18,BR,1676336015
260,longyearbyen,78.2186,15.6401,15.64,79,20,16.11,SJ,1676335734
261,turangi,-39.0,175.9333,61.54,85,100,6.22,NZ,1676336017
262,naklo nad notecia,53.1421,17.6018,36.45,90,99,8.9,PL,1676336018
263,zyryanka,65.75,150.85,-35.23,93,55,3.53,RU,1676336018
264,avera,33.194,-82.5271,53.11,61,4,7.54,US,1676336019
265,orguz,43.7739,16.8639,36.05,72,1,7.63,BA,1676336020
266,port blair,11.6667,92.75,68.04,94,2,0.0,IN,1676336021
267,cockburn town,21.4612,-71.1419,77.13,70,0,3.13,TC,1676335902
268,bengkulu,-3.8004,102.2655,76.86,79,66,4.12,ID,1676336022
269,knysna,-34.0363,23.0471,69.84,93,76,0.89,ZA,1676336023
